Days,Percent,A or B,IDV,Censor or Missing
0,0,A.censor,IDV-RTV=0,Censored
14,0,A.censor,IDV-RTV=0,Censored
28,15.3846,A.censor,IDV-RTV=0,Censored
56,40,A.censor,IDV-RTV=0,Censored
84,33.3333,A.censor,IDV-RTV=0,Censored
112,65.2174,A.censor,IDV-RTV=0,Censored
140,41.6667,A.censor,IDV-RTV=0,Censored
168,35.4839,A.censor,IDV-RTV=0,Censored
0,0,A.missing,IDV-RTV=0,Missing
14,58.9744,A.missing,IDV-RTV=0,Missing
28,7.6923,A.missing,IDV-RTV=0,Missing
56,8,A.missing,IDV-RTV=0,Missing
84,0,A.missing,IDV-RTV=0,Missing
112,0,A.missing,IDV-RTV=0,Missing
140,0,A.missing,IDV-RTV=0,Missing
168,0,A.missing,IDV-RTV=0,Missing
0,0,B.censor,IDV-RTV=1,Censored
14,2.9412,B.censor,IDV-RTV=1,Censored
28,21.7391,B.censor,IDV-RTV=1,Censored
56,33.3333,B.censor,IDV-RTV=1,Censored
84,50,B.censor,IDV-RTV=1,Censored
112,50,B.censor,IDV-RTV=1,Censored
140,62.5,B.censor,IDV-RTV=1,Censored
168,66.6667,B.censor,IDV-RTV=1,Censored
0,0,B.missing,IDV-RTV=1,Missing
14,58.8235,B.missing,IDV-RTV=1,Missing
28,4.3478,B.missing,IDV-RTV=1,Missing
56,0,B.missing,IDV-RTV=1,Missing
84,0,B.missing,IDV-RTV=1,Missing
112,0,B.missing,IDV-RTV=1,Missing
140,6.25,B.missing,IDV-RTV=1,Missing
168,3.7037,B.missing,IDV-RTV=1,Missing
0,100,A.non-censor,IDV-RTV=0,Non-censored
14,100,A.non-censor,IDV-RTV=0,Non-censored
28,84.6154,A.non-censor,IDV-RTV=0,Non-censored
56,60,A.non-censor,IDV-RTV=0,Non-censored
84,66.6667,A.non-censor,IDV-RTV=0,Non-censored
112,34.7826,A.non-censor,IDV-RTV=0,Non-censored
140,58.3333,A.non-censor,IDV-RTV=0,Non-censored
168,64.5161,A.non-censor,IDV-RTV=0,Non-censored
0,100,A.observed,IDV-RTV=0,Observed
14,41.0256,A.observed,IDV-RTV=0,Observed
28,92.3077,A.observed,IDV-RTV=0,Observed
56,92,A.observed,IDV-RTV=0,Observed
84,100,A.observed,IDV-RTV=0,Observed
112,100,A.observed,IDV-RTV=0,Observed
140,100,A.observed,IDV-RTV=0,Observed
168,100,A.observed,IDV-RTV=0,Observed
0,100,B.non-censor,IDV-RTV=1,Non-censored
14,97.0588,B.non-censor,IDV-RTV=1,Non-censored
28,78.2609,B.non-censor,IDV-RTV=1,Non-censored
56,66.6667,B.non-censor,IDV-RTV=1,Non-censored
84,50,B.non-censor,IDV-RTV=1,Non-censored
112,50,B.non-censor,IDV-RTV=1,Non-censored
140,37.5,B.non-censor,IDV-RTV=1,Non-censored
168,33.3333,B.non-censor,IDV-RTV=1,Non-censored
0,100,B.observed,IDV-RTV=1,Observed
14,41.1765,B.observed,IDV-RTV=1,Observed
28,95.6522,B.observed,IDV-RTV=1,Observed
56,100,B.observed,IDV-RTV=1,Observed
84,100,B.observed,IDV-RTV=1,Observed
112,100,B.observed,IDV-RTV=1,Observed
140,93.75,B.observed,IDV-RTV=1,Observed
168,96.2963,B.observed,IDV-RTV=1,Observed
